Sr No	Player (Batting)	Nation	Ratting								
											
1	Babar Azam	PAK	865								
2	Virat Kohli	IND	857								6+L483+A16:D17
3	Rohit Sharma	IND	825								
4	Ross Taylor	NZ	801								
5	Aaron Finch	AUS	791								
6	Jonny Bairstow	ENG	785								
7	Fakar Zaman	PAK	778								
8	Francois du Plessis	SA	778								
9	David Warner	AUS	773								
10	Shai Hope	WI	773								
											
											
											
Sr No	Player (Bowler)	Nation	Ratting								
											
1	Trent Boult	NZ	737								
2	Mehedi Hasan	BAN	713								
3	Mujeeb Ur Rahman	AFG	708								
4	Matt Henry	NZ	691								
5	Jasprit Bumrah	IND	690								
6	Kagiso Rabada	SA	666								
7	Chris Woakes	ENG	665								
8	Josh Hazlewood	AUS	660								
9	Pat Cummins	AUS	646								
10	Mustafizur Rahman	BAN	645								
											
											
											
Sr No	Player (Batting)	Nation	Ratting								
											
1	Tammy Beaumont	ENG	765								
2	Lizelle Lee	SA	758								
3	Alyssa Healy	AUS	756								
4	Stafanie Taylor	WI	746								
5	Meg Lanning	AUS	723								
6	Amy Satterthwaite	NZ	715								
7	Smriti Mandhana	IND 	710								
8	Mithali Raj	IND 	709								
9	Natalie Sciver	ENG	685								
10	Laura Wolvaardt	SA	683								
											
											
											
Sr No	Player (Bowler)	Nation	Ratting								
											
1	Jess Jonassen	AUS	808								
2	Megan Schutt	AUS	762								
3	Marzanne Kapp	SA	747								
4	Shabnim Ismail	SA	717								
5	Jhulan Goswami	IND	681								
6	Katherine Brunt 	ENG	655								
7	Poonam Yadav	IND	641								
8	Ayabonga Khaka	SA	638								
9	Ellyse Perry	AUS	616								
10	Shikha Pandey	IND	610								
